transaction_id,customer_id,transaction_date,product_id,product_name,quantity,price,tax,customer_first_name,customer_last_name,customer_email,customer_phone,customer_country,customer_city
1051,501.0,2023-07-13,101,Product A,5.0,149.13,13.43,Evan,Watson,evan.watson@example.com,+1-234-567-8951,Bangladesh,Dhaka
1052,502.0,2023-07-13,102,Product B,5.0,125.08,22.19,Lillian,Brooks,lillian.brooks@example.com,+1-234-567-8952,Nepal,Kathmandu
1053,503.0,2023-07-16,103,Product C,2.0,265.51,19.55,Ellie,Bennett,ellie.bennett@example.com,+1-234-567-8953,Bhutan,Thimphu
1054,504.0,2023-07-13,104,Product D,,Two Hundred,24.92,Abigail,Ross,abigail.ross@example.com,+1-234-567-8954,Sri Lanka,Colombo
1055,505.0,2023-07-10,100,Product E,5.0,220.81,Fifteen,Charlotte,Henderson,charlotte.henderson@example.com,+1-234-567-8955,Maldives,Male
1056,,13-07-2023,101,Product A,2.0,174.03,28.8,Liam,Barnes,liam.barnes@example.com,+1-234-567-8956,Myanmar,Naypyidaw
1057,507.0,2023-07-13,102,Product B,5.0,289.04,21.35,Zoe,Owens,zoe.owens@example.com,+1-234-567-8957,Cambodia,Phnom Penh
1058,508.0,2023-07-19,103,Product C,3.0,275.11,23.46,Lucas,Griffin,lucas.griffin@example.com,+1-234-567-8958,Laos,Vientiane
1059,509.0,2023-07-14,104,Product D,3.0,104.49,25.35,Amelia,Fisher,amelia.fisher@example.com,+1-234-567-8959,Thailand,Bangkok
T1060,500.0,2023-07-16,P100,Product E,,235.69,7.43,Mason,Ryan,mason.ryan@example.com,+1-234-567-8960,Vietnam,Hanoi
1061,501.0,2023-07-17,101,Product A,5.0,239.46,23.0,Sophia,Richardson,sophia.richardson@example.com,+1-234-567-8961,Malaysia,Kuala Lumpur
1062,502.0,2023-07-19,102,Product B,3.0,135.35,19.79,Emma,James,emma.james@example.com,+1-234-567-8962,Singapore,Singapore
1063,,2023-07-14,103,Product C,3.0,Two Hundred,18.63,Liam,Morgan,liam.morgan@example.com,+1-234-567-8963,Philippines,Manila
1064,504.0,11-07-2023,104,Product D,3.0,177.06,29.8,Emily,Price,emily.price@example.com,+1-234-567-8964,Indonesia,Jakarta
1065,505.0,2023-07-11,100,Product E,4.0,250.62,26.48,Liam,Foster,liam.foster@email.com,+1-234-567-8965,Canada,Ottawa
1066,506.0,2023-07-11,101,Product A,,224.76,Fifteen,Emma,Bennett,emma.bennett@email.com,+1-234-567-8966,UK,Manchester
1067,507.0,2023-07-14,102,Product B,1.0,171.61,8.36,Oliver,Anderson,oliver.anderson@email.com,+1-234-567-8967,Australia,Sydney
1068,508.0,2023-07-20,103,Product C,1.0,148.45,7.33,Ava,Williams,ava.williams@email.com,+1-234-567-8968,France,Paris
1069,509.0,2023-07-18,104,Product D,4.0,240.51,13.41,Ethan,Jones,ethan.jones@email.com,+1-234-567-8969,Germany,Berlin
T1070,,2023-07-16,100,Product E,5.0,200.8,7.34,Charlotte,Smith,charlotte.smith@email.com,+1-234-567-8970,India,Mumbai
1071,501.0,2023-07-14,101,Product A,4.0,195.91,6.81,James,Brown,james.brown@email.com,+1-234-567-8971,USA,Chicago
1072,502.0,20-07-2023,102,Product B,,Two Hundred,5.51,Sophia,Clark,sophia.clark@email.com,+1-234-567-8972,UK,London
1073,503.0,2023-07-18,103,Product C,4.0,57.47,26.21,William,Lee,william.lee@email.com,+1-234-567-8973,USA,New York
1074,504.0,2023-07-14,104,Product D,4.0,183.53,8.11,Isabella,Davis,isabella.davis@email.com,+1-234-567-8974,Australia,Melbourne
1075,505.0,2023-07-14,P100,Product E,3.0,123.32,14.51,Alexander,Garcia,alexander.garcia@email.com,+1-234-567-8975,Mexico,Mexico City
1076,506.0,2023-07-14,101,Product A,1.0,140.7,17.29,Amelia,Hernandez,amelia.hernandez@email.com,+1-234-567-8976,Spain,Madrid
1077,,2023-07-11,102,Product B,5.0,163.07,Fifteen,Lucas,Martinez,lucas.martinez@email.com,+1-234-567-8977,Brazil,Rio de Janeiro
1078,508.0,2023-07-10,103,Product C,,127.1,28.23,Mia,Rodriguez,mia.rodriguez@email.com,+1-234-567-8978,USA,San Francisco
1079,509.0,2023-07-11,104,Product D,5.0,195.99,20.6,Benjamin,Gonzalez,benjamin.gonzalez@email.com,+1-234-567-8979,Spain,Barcelona
T1080,500.0,20-07-2023,100,Product E,3.0,266.13,26.44,Evelyn,Perez,evelyn.perez@email.com,+1-234-567-8980,France,Lyon
1081,501.0,2023-07-14,101,Product A,1.0,Two Hundred,19.54,Elijah,Lopez,elijah.lopez@email.com,+1-234-567-8981,USA,Houston
1082,502.0,2023-07-13,102,Product B,3.0,133.39,17.92,Abigail,Turner,abigail.turner@email.com,+1-234-567-8982,UK,Edinburgh
1083,503.0,2023-07-17,103,Product C,3.0,127.25,14.76,Henry,Scott,henry.scott@email.com,+1-234-567-8983,Australia,Perth
1084,,2023-07-17,104,Product D,,132.87,8.15,Emily,Collins,emily.collins@email.com,+1-234-567-8984,India,Bangalore
1085,505.0,2023-07-17,100,Product E,2.0,193.2,24.57,Michael,Young,michael.young@email.com,+1-234-567-8985,Germany,Munich
1086,506.0,2023-07-18,101,Product A,4.0,277.97,22.69,Sofia,Baker,sofia.baker@email.com,+1-234-567-8986,Italy,Rome
1087,507.0,2023-07-18,102,Product B,2.0,281.83,27.81,Jackson,Harris,jackson.harris@email.com,+1-234-567-8987,USA,New York
1088,508.0,18-07-2023,103,Product C,3.0,147.8,Fifteen,Avery,Cooper,avery.cooper@email.com,+1-234-567-8988,UK,Birmingham
1089,509.0,2023-07-20,104,Product D,1.0,109.83,6.96,Madison,Rivera,madison.rivera@email.com,+1-234-567-8989,USA,Miami
T1090,500.0,2023-07-14,P100,Product E,,Two Hundred,24.52,Scarlett,Ramirez,scarlett.ramirez@email.com,+1-234-567-8990,Colombia,Bogotá
1091,,2023-07-11,101,Product A,5.0,79.6,21.87,Lily,Morgan,lily.morgan@email.com,+1-234-567-8991,UK,Bristol
1092,502.0,2023-07-16,102,Product B,2.0,297.51,19.47,Aiden,Ross,aiden.ross@email.com,+1-234-567-8992,Spain,Madrid
1093,503.0,2023-07-17,103,Product C,4.0,225.96,5.7,Eleanor,Bell,eleanor.bell@email.com,+1-234-567-8993,France,Marseille
1094,504.0,2023-07-13,104,Product D,2.0,290.43,17.88,Luke,Carter,luke.carter@email.com,+1-234-567-8994,Australia,Brisbane
1095,505.0,2023-07-18,100,Product E,1.0,218.52,23.75,Victoria,Bryant,victoria.bryant@email.com,+1-234-567-8995,USA,Dallas
1096,506.0,15-07-2023,101,Product A,,243.74,19.03,Christopher,Hunter,christopher.hunter@email.com,+1-234-567-8996,India,Delhi
1097,507.0,2023-07-15,102,Product B,5.0,230.25,29.48,Natalie,Moore,natalie.moore@email.com,+1-234-567-8997,UK,London
1098,,2023-07-14,103,Product C,1.0,240.41,8.74,David,King,david.king@email.com,+1-234-567-8998,Germany,Hamburg
1099,509.0,2023-07-12,104,Product D,2.0,Two Hundred,Fifteen,Hazel,Barnes,hazel.barnes@email.com,+1-234-567-8999,Spain,Seville
T1100,500.0,2023-07-17,100,Product E,4.0,257.38,13.27,Grace,Bennett,grace.bennett@email.com,+1-234-567-9000,USA,Los Angeles
